CRH18,CRH3,CRH9,CRH14,CRH4,CRH19,CRH15,DELETE
100.0,9.570313,9.423828,99.951172,53.173828,31.591796999999996,99.951172,4.394531
65.527344,1.953125,5.908203,99.951172,99.951172,22.851563,99.951172,1.806641
11.132813,100.0,6.103516,99.951172,64.648438,97.314453,27.246094,5.566406
65.625,33.203125,6.982422,99.951172,4.882813,100.0,22.070313,3.027344
9.814453,4.345703,4.833984,99.951172,49.072266,54.638672,78.222656,6.8359380000000005
31.835938,11.767578,7.470703,99.951172,24.462891,37.011719,91.943359,1.757813
98.4375,12.304688,11.181641,99.951172,32.568359,34.570313,100.0,0.439453
6.445313,15.332031,22.363281,100.0,37.939453,15.429688,100.0,4.6875
84.667969,36.474609,27.880859,100.0,30.419921999999996,6.8359380000000005,27.685546999999996,0.6835939999999999
22.460938,43.212891,23.779297,47.363281,2.734375,12.158203,72.119141,2.197266
85.351563,95.117188,0.244141,100.0,5.46875,25.976563,100.0,0.048827999999999996
44.970703,100.0,10.058594,100.0,27.34375,100.0,100.0,13.916016
69.628906,100.0,28.710938,100.0,21.972656,53.173828,100.0,24.023438
80.175781,100.0,37.841797,30.175781,100.0,99.951172,5.126953,0.09765599999999999
28.466796999999996,100.0,26.464844,100.0,20.849609,46.972656,14.013672,26.855469
100.0,100.0,1.8554689999999998,100.0,5.419922,100.0,88.183594,0.34179699999999996
37.451172,100.0,4.296875,32.373047,4.345703,100.0,99.951172,12.597656
27.880859,100.0,14.257813,45.166016,4.931641,56.54296899999999,99.951172,11.767578
100.0,99.951172,2.392578,100.0,10.205078,99.951172,99.951172,11.376953
100.0,99.951172,6.689453,100.0,18.408203,59.570313,21.777344,7.519531
5.224609,40.136719,94.189453,100.0,3.7597660000000004,63.134766000000006,26.953125,4.052734
7.03125,100.0,82.861328,100.0,15.185547,99.951172,100.0,4.638672
29.394531,99.560547,21.679688,65.332031,19.189453,49.609375,99.951172,9.570313
2.978516,84.082031,8.349609,100.0,0.488281,20.3125,99.951172,9.326172
28.564453000000004,48.974609,17.333984,100.0,27.929688,99.951172,99.951172,5.273438
29.150391,99.951172,23.095703,45.605469,6.005859,47.65625,99.951172,2.441406
0.585938,12.5,69.726563,100.0,10.15625,100.0,89.84375,5.859375
29.980469,37.597656,84.423828,99.951172,14.794922,100.0,11.376953,13.085938
40.185547,99.951172,99.951172,99.951172,29.541016,38.964844,99.951172,19.921875
10.351563,30.126953000000004,9.033203,99.951172,39.501953,100.0,99.951172,23.681641
15.429688,99.951172,100.0,78.076172,8.544922,100.0,99.951172,14.453125
42.919922,99.951172,1.220703,99.951172,91.992188,100.0,99.951172,31.054688
14.941406,99.951172,62.158203,99.951172,85.791016,99.951172,99.951172,5.615234
24.707031,99.951172,26.269531,13.916016,81.591797,100.0,99.951172,28.759766
5.664063,99.951172,55.273438,55.322266000000006,99.951172,85.253906,99.951172,2.001953
28.857421999999996,99.951172,47.021484,69.287109,88.867188,19.091797,99.951172,6.591797
48.046875,99.951172,7.861328,99.951172,44.677734,79.003906,100.0,6.396484
55.46875,84.228516,0.585938,99.951172,52.001953,91.40625,100.0,1.5625
100.0,11.083984,2.685547,63.671875,52.490233999999994,49.072266,100.0,3.515625
100.0,70.263672,7.421875,41.796875,36.767578,99.951172,100.0,6.396484
46.044922,64.599609,20.3125,99.951172,25.537109,99.951172,100.0,8.740234
89.111328,100.0,10.546875,99.951172,94.287109,48.4375,100.0,3.564453
41.699219,37.695313,63.720703,99.951172,28.320313,99.951172,100.0,1.464844
60.83984399999999,99.951172,8.154297,100.0,35.839844,100.0,82.617188,1.8554689999999998
27.832031,99.951172,45.654297,100.0,39.111328,100.0,99.951172,5.566406
28.320313,99.951172,4.296875,49.316406,22.363281,65.283203,42.1875,10.791016
71.777344,100.0,18.505859,99.951172,5.322266,100.0,100.0,3.076172
100.0,61.083983999999994,3.515625,78.271484,12.353516,100.0,73.046875,3.027344
99.951172,68.408203,8.886719,27.539063,7.324219,100.0,24.658203,10.644531
99.951172,91.650391,0.78125,57.275391000000006,15.771484,95.996094,49.023438,0.0
100.0,100.0,12.255859,87.304688,9.228516,12.890625,100.0,15.087891
2.197266,31.982421999999996,8.447266,17.382813,4.394531,77.636719,100.0,2.978516
34.619141,100.0,25.732422,43.261719,2.539063,73.486328,15.234375,4.931641
2.734375,97.363281,100.0,100.0,25.488281,2.587891,99.951172,5.46875
12.890625,13.330078,100.0,69.384766,100.0,45.263672,99.951172,0.244141
12.451172,27.099609,100.0,92.773438,99.951172,30.810546999999996,99.951172,8.496094
24.267578,100.0,100.0,100.0,99.951172,0.6347659999999999,99.951172,8.837891
0.0,65.966797,100.0,100.0,29.833984,75.683594,99.951172,8.789063
5.517578,99.951172,100.0,100.0,100.0,30.175781,100.0,2.783203
36.962891,100.0,100.0,9.765625,100.0,72.802734,99.951172,4.833984
51.318359,100.0,81.445313,22.65625,10.400391,89.84375,99.951172,12.255859
40.039063,99.951172,100.0,71.875,99.951172,70.947266,4.589844,18.798828
33.789063,99.951172,8.056641,25.048828,100.0,16.259766,100.0,15.527344
1.611328,99.951172,17.431641,99.951172,100.0,27.539063,13.232422,3.955078
33.837891,2.246094,45.703125,99.951172,99.951172,9.472656,100.0,0.488281
10.449219,99.951172,99.951172,99.951172,99.951172,20.068359,100.0,5.029297
15.234375,99.951172,99.951172,99.951172,37.402344,28.710938,100.0,6.298828
14.306641,16.845703,99.951172,99.951172,100.0,22.851563,100.0,0.732422
20.019531,22.021484,99.951172,99.951172,100.0,16.40625,99.951172,13.671875
